download_url,document_url,title,date_uploaded,description,tag,category,language,privacy,total_views,slideshare_views,embed_views,total_likes,total_comments,total_downloads
https://www.slideshare.net/dwnld_file?s_title=portuguese-nlp-for-fgv,https://www.slideshare.net/valeria.depaiva/portuguese-nlp-for-fgv,PORTUGUESE NLP FOR FGV?,2011-07-12 21:56:58 UTC,,"NLP, Portuguese, ParGram",presentation,en,public,535,531,4,1,0,6
https://www.slideshare.net/dwnld_file?s_title=constructive-description-logics-2006,https://www.slideshare.net/valeria.depaiva/constructive-description-logics-2006,Constructive Description Logics 2006,2012-01-28 20:58:07 UTC,,,presentation,en,public,402,399,3,1,1,2
https://www.slideshare.net/dwnld_file?s_title=constructive-hybrid-logics,https://www.slideshare.net/valeria.depaiva/constructive-hybrid-logics,Constructive Hybrid Logics,2012-01-28 20:59:42 UTC,,,presentation,en,public,293,290,3,1,1,5
https://www.slideshare.net/dwnld_file?s_title=2006-pargram,https://www.slideshare.net/valeria.depaiva/2006-pargram,AbstractKR on Pargram 2006,2012-01-28 21:01:08 UTC,Pargram 2006,"question-answer, knowledge representation",presentation,en,public,666,661,5,0,1,3
https://www.slideshare.net/dwnld_file?s_title=fun-with-constructive-modalities,https://www.slideshare.net/valeria.depaiva/fun-with-constructive-modalities,Fun with Constructive Modalities,2012-01-28 21:03:40 UTC,"PUC-Rio, 2009",,presentation,en,public,554,550,4,0,1,11
https://www.slideshare.net/dwnld_file?s_title=cartesian-dialectica,https://www.slideshare.net/valeria.depaiva/cartesian-dialectica,Fibrational Versions of Dialectica Categories,2012-01-28 21:05:49 UTC,,"dialectica categories, fibrations",presentation,en,public,468,462,6,1,0,7
https://www.slideshare.net/dwnld_file?s_title=chu-and-dialectica-cousins,https://www.slideshare.net/valeria.depaiva/chu-and-dialectica-cousins,Chu and Dialectica: cousins?,2012-01-28 21:12:19 UTC,,"categories, dialectica",presentation,en,public,209,206,3,1,2,3
https://www.slideshare.net/dwnld_file?s_title=constructive-access-control,https://www.slideshare.net/valeria.depaiva/constructive-access-control,Constructive Access Control,2012-01-28 21:14:49 UTC,,constructive logic,presentation,en,public,347,343,4,1,4,2
https://www.slideshare.net/dwnld_file?s_title=imla2011-opening,https://www.slideshare.net/valeria.depaiva/imla2011-opening,IMLA2011 Opening,2012-01-28 21:17:42 UTC,,"intuitionistic, modal, logic",presentation,en,public,644,639,5,0,2,1
https://www.slideshare.net/dwnld_file?s_title=lorenzen,https://www.slideshare.net/valeria.depaiva/lorenzen,Lorenzen,2012-01-28 21:19:35 UTC,,,presentation,en,public,297,291,6,1,3,3
https://www.slideshare.net/dwnld_file?s_title=logics-of-context-and-modal-type-theories,https://www.slideshare.net/valeria.depaiva/logics-of-context-and-modal-type-theories,Logics of Context and Modal Type Theories,2012-01-28 21:21:39 UTC,MFPS 2004,"context,modal logic,type theory",presentation,en,public,587,582,5,0,2,6
https://www.slideshare.net/dwnld_file?s_title=pargram2011,https://www.slideshare.net/valeria.depaiva/pargram2011,Pargram2011,2012-01-28 21:27:17 UTC,,,presentation,en,public,300,297,3,0,2,1
https://www.slideshare.net/dwnld_file?s_title=searchland2-11315304,https://www.slideshare.net/valeria.depaiva/searchland2-11315304,"Charting Searchland, ACM SIG Data Mining",2012-01-28 21:30:00 UTC,,"search, relevance",presentation,en,public,328,325,3,1,1,4
https://www.slideshare.net/dwnld_file?s_title=searchland3,https://www.slideshare.net/valeria.depaiva/searchland3,Searchland: Search quality for Beginners,2012-01-28 22:00:38 UTC,"Santa Clara University, Nov 2010",,presentation,en,public,396,391,5,2,2,3
https://www.slideshare.net/dwnld_file?s_title=a-career-in-mathematics,https://www.slideshare.net/valeria.depaiva/a-career-in-mathematics,A career in Mathematics,2012-01-28 22:09:19 UTC,"University of Sonoma, April 2007",,presentation,en,public,324,318,6,1,2,11
https://www.slideshare.net/dwnld_file?s_title=unilog1,https://www.slideshare.net/valeria.depaiva/unilog1,Equivalence of Logics: the categorical proof theory perspective,2012-01-28 22:33:47 UTC,"UNILOG, April 2005",,presentation,en,public,635,627,8,2,1,13
https://www.slideshare.net/dwnld_file?s_title=ron-11315938,https://www.slideshare.net/valeria.depaiva/ron-11315938,Categorical Type Theory and its Uses,2012-01-28 22:59:35 UTC,Jan-00,,presentation,en,public,487,481,6,1,2,14
https://www.slideshare.net/dwnld_file?s_title=dusko,https://www.slideshare.net/valeria.depaiva/dusko,Linear Functional Programming,2012-01-28 23:16:24 UTC,Jun-99,,presentation,en,public,577,573,4,0,1,4
https://www.slideshare.net/dwnld_file?s_title=2006trip-report,https://www.slideshare.net/valeria.depaiva/2006trip-report,2006trip report,2012-01-29 00:31:10 UTC,,,presentation,en,public,276,272,4,0,2,1
https://www.slideshare.net/dwnld_file?s_title=bridge-sri,https://www.slideshare.net/valeria.depaiva/bridge-sri,A Bridge Not too Far,2012-01-29 01:19:15 UTC,"Talk at SRI Feb 2010, by invitation of Rodrigo De Salvo Braz.
 
  It has been written down as ""Bridges from Language to Logic: Concepts, Contexts and Ontologies"". Electr. Notes Theor. Comput. Sci. 269: 83-94 (2011).","nlp, logic of contexts, textual logic",presentation,en,public,516,512,4,1,2,4
https://www.slideshare.net/dwnld_file?s_title=contexts-for-quantification,https://www.slideshare.net/valeria.depaiva/contexts-for-quantification,Contexts for Quantification,2012-01-29 01:29:21 UTC,FGV,,presentation,en,public,333,331,2,1,3,1
https://www.slideshare.net/dwnld_file?s_title=contexts4-quant,https://www.slideshare.net/valeria.depaiva/contexts4-quant,Contexts for Quantification,2012-01-29 10:18:19 UTC,Stanford April 2011,,presentation,en,public,272,268,4,1,4,1
https://www.slideshare.net/dwnld_file?s_title=partial-compilers,https://www.slideshare.net/valeria.depaiva/partial-compilers,Partial Compilers,2012-01-29 10:26:17 UTC,"Google BACAT talk.
 
 Abstract: Dialectica Categories (also known as dialectica spaces), the main construction of my phd thesis, have had several (unrelated) applications. I've used them to model Linear Logic, FILL(Full Intuitionistic Linear Logic), the Lambek Calculus and classes of Petri Nets (with C. Brown and D. Gurr). They were also used to model state in programming language semantics, after U. Reddy (with M. Correa and H. Hausler), and fuzzy Petri nets (with A. Syropoulos) and several 'superpower games' (A. Blass). Recently Mihai Budiu, Joel Galenson and Gordon Plotkin used dialectica categories in the modelling of partial compilers. I want to discuss this application, presented in the preprint ""The Compiler Forest"" (#90), available from Plotkin's webpage, to see if I understand it. Since I know little about compilers, audience participation will be very welcome!",,presentation,en,public,500,496,4,1,4,2
https://www.slideshare.net/dwnld_file?s_title=logic-seminar-spring-2011,https://www.slideshare.net/valeria.depaiva/logic-seminar-spring-2011,Logic Seminar Spring 2011,2012-01-29 10:40:16 UTC,,,presentation,en,public,664,660,4,1,4,27
https://www.slideshare.net/dwnld_file?s_title=parc-forum-2009-adventures-in-searchland,https://www.slideshare.net/valeria.depaiva/parc-forum-2009-adventures-in-searchland,PARC Forum 2009: Adventures in SearchLand,2012-02-20 07:48:12 UTC,"Last year I left PARC after almost nine years in residence, to join Cuil, a start up company then in stealth mode. Three months later, Cuil launched with a lot of buzz and a product that is innovative to the hilt.This was the beginning of an exciting (and bumpy) journey over the unchartered territory of Searchland, part of the larger and (to me) mysterious continent of StartUpLand. In this talk I will discuss this journey and highlights so far, with the help of a little guide.","search engine, start-up life, Cuil, PARC",presentation,en,public,539,535,4,1,4,2
https://www.slideshare.net/dwnld_file?s_title=clics-categorical-logic-in-computer-science,https://www.slideshare.net/valeria.depaiva/clics-categorical-logic-in-computer-science,CLiCS: Categorical Logic in Computer Science,2012-02-20 08:53:40 UTC,"This talk is about Categorical Logic, a branch of Category Theory, a newer subfield of Algebra, established in the late forties/early fifties by Eilenberg and MacLane. One of its most exciting applications is to theoretical computer science and I plan to discuss it, from a very personal perspective.",,presentation,unk,public,450,445,5,1,3,11
https://www.slideshare.net/dwnld_file?s_title=dialectica-categories-surprising-application-mapping-cardinal-invariants,https://www.slideshare.net/valeria.depaiva/dialectica-categories-surprising-application-mapping-cardinal-invariants,Dialectica Categories Surprising Application: mapping cardinal invariants,2012-04-14 20:04:11 UTC,"Talk at 2nd Set Theory and General Topology Week in Salvador, Bahia, Brazil, March 2012
 
 Abstract: Goethe famously said that ""Mathematicians are like Frenchmen:
 
 whatever you say to them they translate into their own language and forthwith it is something entirely different."" True. Even more true of category theorists. Following this great tradition of appropriating other people's work, I want to tell you how I learned about ""cardinalities of the continuum"" from Blass and Morgan and da Silva
 
 and how I want to rock their boat, just a little, in the direction of my kind of mathematics.",,presentation,en,public,424,419,5,1,4,4
https://www.slideshare.net/dwnld_file?s_title=dialectica1999-salvador,https://www.slideshare.net/valeria.depaiva/dialectica1999-salvador,Dialectica Categories... and Lax Topological Spaces?,2012-04-14 20:06:09 UTC,"(Joint work with Apostolos Syropoulos)
 
 Talk at Dept Matematica, Universidade Federal da Bahia,
 
 Salvador, Bahia, March 2012",,presentation,en,public,381,376,5,0,3,3
https://www.slideshare.net/dwnld_file?s_title=to-infinite-possibilities-and-beyond,https://www.slideshare.net/valeria.depaiva/to-infinite-possibilities-and-beyond,To Infinite Possibilities and Beyond...,2012-04-14 20:09:17 UTC,"Talk at Infinite Possibilities Conference, March 2012",,presentation,en,public,800,796,4,1,5,2
https://www.slideshare.net/dwnld_file?s_title=edwardian-proofs-as-futuristic-programs,https://www.slideshare.net/valeria.depaiva/edwardian-proofs-as-futuristic-programs,Edwardian Proofs as Futuristic Programs,2012-04-14 20:39:36 UTC,"Keynote at Infinite Possibilities Conference, Baltimore, MA, March 2012.",,presentation,en,public,1359,1355,4,2,7,3
https://www.slideshare.net/dwnld_file?s_title=category-theory-for-all-nasslli-2012,https://www.slideshare.net/valeria.depaiva/category-theory-for-all-nasslli-2012,Category Theory for All (NASSLLI 2012),2012-06-27 07:43:04 UTC,"Preliminary, very preliminary slides.","category theory, logic, glue semantics",presentation,en,public,4393,4351,42,13,8,208
https://www.slideshare.net/dwnld_file?s_title=talk-bogotajune2012-modified,https://www.slideshare.net/valeria.depaiva/talk-bogotajune2012-modified,Dialectica Categories Surprising Application: Cardinalities of the Continuum,2012-06-27 07:47:32 UTC,"Talk in Bogota', Colombia, Universidad de los Andes","dialectica categories, set theory",presentation,en,public,401,397,4,1,5,4
https://www.slideshare.net/dwnld_file?s_title=contexts4-quantrain,https://www.slideshare.net/valeria.depaiva/contexts4-quantrain,Little engines of inference: contexts for quantification,2012-06-27 08:21:49 UTC,Invited Talk at RAIN (Reasoning and Interaction at NASSLLI 2012),"kr,natural logic, contexts",presentation,en,public,833,827,6,0,3,8
https://www.slideshare.net/dwnld_file?s_title=lorenzen-slides,https://www.slideshare.net/valeria.depaiva/lorenzen-slides,￼Game Semantics Intuitions,2012-09-04 22:59:51 UTC,"Proof Theory in Paraty, 
 
 August 2012","linear logic, FILL, game semantics",presentation,en,public,594,587,7,1,5,2
https://www.slideshare.net/dwnld_file?s_title=cat-models,https://www.slideshare.net/valeria.depaiva/cat-models,Who's afraid of Categorical models?,2012-09-04 23:04:02 UTC,"Talk at PUC, August 2012",,presentation,en,public,816,808,8,3,3,13
https://www.slideshare.net/dwnld_file?s_title=glue-semantics-for-proof-theorists,https://www.slideshare.net/valeria.depaiva/glue-semantics-for-proof-theorists,Glue Semantics for Proof Theorists,2013-04-13 16:18:47 UTC,Talk at the Abstract Proof Theory Workshop in Unilog 2013.,,presentation,en,public,1026,1016,10,1,2,5
https://www.slideshare.net/dwnld_file?s_title=if-not-when,https://www.slideshare.net/valeria.depaiva/if-not-when,"If, not when",2013-04-13 16:21:22 UTC,"Talk at IMLA 2013, work of Dick Crouch.",constructive modal logic,presentation,en,public,684,672,12,1,2,3
https://www.slideshare.net/dwnld_file?s_title=ilha-grande2,https://www.slideshare.net/valeria.depaiva/ilha-grande2,"Constructive Modal Logics, Once Again",2013-11-13 08:10:28 UTC,"Talk given at Ilha Grande 2013: II Workshop on Logic and Semantics, http://www.tecmf.inf.puc-rio.br/LogicSemanticsII.",,presentation,en,public,1055,1048,7,0,2,8
https://www.slideshare.net/dwnld_file?s_title=nn-os-dial,https://www.slideshare.net/valeria.depaiva/nn-os-dial,Natural Number Objects in Dialectica Categories,2013-11-13 08:34:25 UTC,"Talk given at LSFA2013, Sao Paulo, Brazil.
 
 http://lsfa.ime.usp.br/lsfa2013/",,presentation,en,public,619,607,12,1,2,5
https://www.slideshare.net/dwnld_file?s_title=bacat2-copy,https://www.slideshare.net/valeria.depaiva/bacat2-copy,Linear Type Theory Revisited (BACAT Feb 2014),2014-02-22 10:14:36 UTC,"BACAT2: Valeria suggested that we discussed some old work on linear type theory to get up to date with newer work. Here are some slides for a background talk on linear type theory, based on Term Assignment for Intuitionistic Linear Logic. (Benton, Bierman, de Paiva and Hyland). Technical Report 262, University of Cambridge Computer Laboratory 1992.",,presentation,en,public,954,942,12,1,1,6
https://www.slideshare.net/dwnld_file?s_title=nomlex-gwa,https://www.slideshare.net/valeria.depaiva/nomlex-gwa,Embedding Nomlex-BR into OpenWN-PT,2014-02-22 13:27:07 UTC,Slides not presented at GWN2014,,presentation,en,public,641,634,7,1,2,1
https://www.slideshare.net/dwnld_file?s_title=lexical-resources-for-portuguese,https://www.slideshare.net/valeria.depaiva/lexical-resources-for-portuguese,Lexical Resources for Portuguese,2014-02-22 13:34:09 UTC,Slides describing the work that led to Alexandre Rademaker's presentation in GWC 2014,,presentation,en,public,2585,2578,7,2,3,3
https://www.slideshare.net/dwnld_file?s_title=dial-cardinalities-march2014,https://www.slideshare.net/valeria.depaiva/dial-cardinalities-march2014,Dialectica Categories and Cardinalities of the Continuum (March2014),2014-04-20 16:31:54 UTC,"Slides not used in talk at EBL2014, given by Samuel Gomes da Silva.",,presentation,en,public,404,389,15,0,3,2
https://www.slideshare.net/dwnld_file?s_title=logical-approaches2computationfxpal2000,https://www.slideshare.net/valeria.depaiva/logical-approaches2computationfxpal2000,Logical Approaches to Computation FX-PAL 2000,2014-05-08 12:55:03 UTC,talk given at FX-PAL in 2000.,,document,en,public,394,384,10,0,2,2
https://www.slideshare.net/dwnld_file?s_title=boulder2014,https://www.slideshare.net/valeria.depaiva/boulder2014,Edwardian Proofs as futuristic Programs for Personal Assistants,2014-05-21 14:55:56 UTC,"Invited Talk at North American Association of Symbolic Logic Meeting, Boulder, CO, May 2014",,presentation,en,public,949,930,19,1,7,3
https://www.slideshare.net/dwnld_file?s_title=intuitionistic,https://www.slideshare.net/valeria.depaiva/intuitionistic,Intuitionistic Modal Logic: fifteen years later,2015-03-07 10:06:27 UTC,"Slides from Berkeley Colloquium, March 6th, 2015.",,presentation,en,public,1770,1710,60,3,7,31
https://www.slideshare.net/dwnld_file?s_title=contexts4-quantificationc-sense2013,https://www.slideshare.net/valeria.depaiva/contexts4-quantificationc-sense2013,Contexts 4 quantification (CommonSense2013),2015-03-08 08:33:51 UTC,Talk give remotely at CommonSense 2013,,presentation,en,public,534,518,16,0,2,4
https://www.slideshare.net/dwnld_file?s_title=stanford-leanlogic,https://www.slideshare.net/valeria.depaiva/stanford-leanlogic,Lean Logic for Lean Times: Entailment and Contradiction Revisited,2015-06-27 01:38:51 UTC,"Talk at the CSLI Spring meeting, 2015",,presentation,en,public,702,686,16,2,3,2
https://www.slideshare.net/dwnld_file?s_title=modal-type-theory,https://www.slideshare.net/valeria.depaiva/modal-type-theory,Modal Type Theory,2015-09-17 06:49:49 UTC,"Invited talk at 10th Workshop on Logical and Semantic Frameworks, with Applications (LSFA) on constructive modal type theory.","modal logic,type theory,fibrations,categorical logic",presentation,en,public,894,872,22,2,0,9
https://www.slideshare.net/dwnld_file?s_title=seeing-is-correctinglinked-open-data-for-portuguese,https://www.slideshare.net/valeria.depaiva/seeing-is-correctinglinked-open-data-for-portuguese,Seeing is Correcting:Linked Open Data for Portuguese,2015-12-12 02:39:28 UTC,Talk at Nuance about the Brazilian work,"linked data,portuguese,openwordnet-pt",presentation,en,public,474,463,11,1,5,3
https://www.slideshare.net/dwnld_file?s_title=logics-and-ontologies-for-portuguese-understanding,https://www.slideshare.net/valeria.depaiva/logics-and-ontologies-for-portuguese-understanding,Logics and Ontologies for Portuguese Understanding,2016-01-06 05:06:28 UTC,Talk at PUC Sept 2014,"logic,ontology,portuguese",presentation,en,public,393,380,13,1,4,3
https://www.slideshare.net/dwnld_file?s_title=portuguese-linguistic-tools-what-why-and-how,https://www.slideshare.net/valeria.depaiva/portuguese-linguistic-tools-what-why-and-how,"Portuguese Linguistic Tools: What, Why and How",2016-01-06 15:15:46 UTC,"Invited talk at IBM Research, Rio de Janeiro, Sept 2015","wordnet,lexicon,knowledge representation",presentation,en,public,645,626,19,1,8,6
https://www.slideshare.net/dwnld_file?s_title=lean-logic-for-lean-times-varieties-of-natural-logic,https://www.slideshare.net/valeria.depaiva/lean-logic-for-lean-times-varieties-of-natural-logic,Lean Logic for Lean Times: Varieties of Natural Logic,2016-01-06 17:57:51 UTC,"Invited talk at CoCoNat meeting, http://www.indiana.edu/~iulg/wollic/coconat.htm",lean logic entailment natural logic,presentation,en,public,459,407,52,2,7,2
https://www.slideshare.net/dwnld_file?s_title=dialectica-categories-for-the-lambek-calculus,https://www.slideshare.net/valeria.depaiva/dialectica-categories-for-the-lambek-calculus,Dialectica Categories for the Lambek Calculus,2017-04-21 18:18:19 UTC,"APA/ASL meeting Seattle, April 2017","categorical models,lambek calculus",presentation,en,public,298,280,18,1,4,1
https://www.slideshare.net/dwnld_file?s_title=universal-dependencies-for-inference,https://www.slideshare.net/valeria.depaiva/universal-dependencies-for-inference,Universal Dependencies For Inference,2017-04-28 21:22:40 UTC,Talk at Nuance nuSVN seminar in Feb 2017,"universal_deps,sumo,sick-rte",presentation,en,public,340,319,21,1,5,3
https://www.slideshare.net/dwnld_file?s_title=danny-the-champion-of-the-world-76830963,https://www.slideshare.net/valeria.depaiva/danny-the-champion-of-the-world-76830963,Danny the champion of the world,2017-06-10 22:34:29 UTC,"short tribute to Danny Bobrow, June 2017, PARC","ai_pioneer,bobrow,parc",presentation,en,public,342,328,14,1,7,2
https://www.slideshare.net/dwnld_file?s_title=weapons-of-math-construction,https://www.slideshare.net/valeria.depaiva/weapons-of-math-construction,Weapons of Math Construction,2017-07-15 00:52:09 UTC,"Talk at the Logic Mentoring Workshop, LiCS 2017","logic,algorithms,curry-howard,mentoring",presentation,en,public,431,416,15,1,6,3
https://www.slideshare.net/dwnld_file?s_title=women-in-logic-2017-opening-remarks,https://www.slideshare.net/valeria.depaiva/women-in-logic-2017-opening-remarks,Women in Logic 2017 (opening remarks),2017-08-02 21:58:29 UTC,"Opening remarks for the first workshop Women in Logic (WiL2017) associated to LiCS (Logic in Computer Science), https://sites.google.com/site/firstwomeninlogicworkshop/","logic,women,stem,lics",presentation,en,public,280,235,45,1,4,0
https://www.slideshare.net/dwnld_file?s_title=doing-time-bacat-2017,https://www.slideshare.net/secret/cT0IrTNfzkpx9T,Doing Time (BACAT 2017),2017-09-23 22:29:38 UTC,"Meet-up slides based on paper with Harley Eades, ""Constructive Temporal Logic, categorically"", IfColog Issue for Grisha Mints
 
 http://www.collegepublications.co.uk/downloads/ifcolog00013.pdf","grisha_mints,temporal_logic,categorical_models",presentation,en,private,111,108,3,0,0,5
https://www.slideshare.net/dwnld_file?s_title=towards-a-rewriting-framework-for-textual-entailment,https://www.slideshare.net/valeria.depaiva/towards-a-rewriting-framework-for-textual-entailment,Towards a Rewriting Framework for Textual Entailment,2017-12-14 02:08:12 UTC,"old slides from LSFA2014, http://lsfa2014.cic.unb.br/#programme","textual_entailment,rewriting,maude,kiml,logic_from_language",presentation,en,public,117,103,14,0,1,4
https://www.slideshare.net/dwnld_file?s_title=natural-language-inference-logic-from-humans-85233069,https://www.slideshare.net/valeria.depaiva/natural-language-inference-logic-from-humans-85233069,Natural Language Inference: Logic from Humans,2017-12-29 01:09:49 UTC,A compilation talk from two papers presented at IWCS2017,"textual_entailment,textual inference,logic,contradictions,sick-rte",presentation,en,public,277,245,32,2,2,4
https://www.slideshare.net/dwnld_file?s_title=ownpt-taking-stock,https://www.slideshare.net/valeria.depaiva/ownpt-taking-stock,OWN-PT: Taking Stock,2018-08-04 00:11:42 UTC,"slides for NLCS 2018 (https://easychair.org/smart-program/FLoC2018/NLCS-program.html), not presented. July 2018","lexical resources,wordnet,portuguese",presentation,en,public,88,80,8,1,3,0
https://www.slideshare.net/dwnld_file?s_title=linear-logic-via-logical-dependencies-mirantao2018,https://www.slideshare.net/valeria.depaiva/linear-logic-via-logical-dependencies-mirantao2018,Linear Logic via Logical Dependencies (Mirantao2018),2018-08-31 17:00:14 UTC,Talk at Jornadas Miratao,"linear logic,logical dependencies,fill,logic flow",presentation,en,public,228,218,10,1,3,1
https://www.slideshare.net/dwnld_file?s_title=history-of-lics-impromptu2016,https://www.slideshare.net/valeria.depaiva/history-of-lics-impromptu2016,History of LICS impromptu2016,2018-09-17 04:58:38 UTC,Lics 2016 simpromptu talk 2016,"gender gap,logic in cs",presentation,en,public,186,165,21,0,2,2
https://www.slideshare.net/dwnld_file?s_title=going-without-a-modality-and-its-role,https://www.slideshare.net/valeria.depaiva/going-without-a-modality-and-its-role,Going Without: a modality and its role,2019-03-02 22:20:58 UTC,"BACAT talk 1st March 2019, on old work with Milly, Eike and Paola","linear lambda-calculus,ilt,modal type theory",presentation,en,public,87,78,9,0,1,2
https://www.slideshare.net/dwnld_file?s_title=a-dialectica-model-of-relevant-type-theory,https://www.slideshare.net/valeria.depaiva/a-dialectica-model-of-relevant-type-theory,A Dialectica Model of Relevant Type Theory,2019-03-03 15:28:59 UTC,"Talk at Sysmics2019, Jan 2019","type theory,relevant logic,dialectica models",presentation,en,public,170,159,11,0,1,1
https://www.slideshare.net/dwnld_file?s_title=natural-language-inference-in-sick,https://www.slideshare.net/valeria.depaiva/natural-language-inference-in-sick,Natural Language Inference in SICK,2019-05-23 15:07:47 UTC,"slides from Oslo presentation at Meaningful Work: Advancing Computational Semantics, part of the project SynSem: From Form to Meaning - Integrating Linguistics and Computing","textual inference,computational semantics",presentation,en,public,254,242,12,1,1,2
https://www.slideshare.net/dwnld_file?s_title=dialectica-categories-and-petri-nets,https://www.slideshare.net/valeria.depaiva/dialectica-categories-and-petri-nets,Dialectica Categories and Petri Nets,2019-07-05 01:16:38 UTC,Bacat June 2019,"petri nets,linear logic,dialectica categories",presentation,en,public,161,153,8,1,2,1
https://www.slideshare.net/dwnld_file?s_title=going-without-a-modality-and-its-role-153650545,https://www.slideshare.net/valeria.depaiva/going-without-a-modality-and-its-role-153650545,Going Without: a modality and its role,2019-07-05 01:22:13 UTC,"Tuebingen, March 2019","type theory,linear logic,fibrational models,proof theoretic semantics",presentation,en,public,54,46,8,0,1,1
https://www.slideshare.net/dwnld_file?s_title=women-in-logic-2019,https://www.slideshare.net/valeria.depaiva/women-in-logic-2019,Women in Logic 2019,2019-07-05 01:26:24 UTC,"WiL2019 opening slides, 23 June 2019, associated with LiCS2019","women in tech,women in cs,women in logic",presentation,en,public,71,61,10,0,1,0
https://www.slideshare.net/dwnld_file?s_title=mulheres-na-logica-e-no-brasil,https://www.slideshare.net/valeria.depaiva/mulheres-na-logica-e-no-brasil,Mulheres na Lógica (e no Brasil),2019-07-16 20:30:51 UTC,"Mesa Redonda no EBL, https://ebl2019.ci.ufpb.br/","logica,mulheres",presentation,pt,public,226,218,8,1,0,0
